"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-Jun-2023","EQ","2,830.00","2,871.00","2,826.45","2,827.25","2,858.00","2,861.65","2,854.47","2,871.00","1,825.05","11,16,501","3,18,70,19,130.85","93,466"
"01-Jun-2023","EQ","2,823.25","2,837.65","2,814.70","2,823.25","2,820.00","2,827.25","2,824.91","2,841.90","1,825.05","5,38,550","1,52,13,55,131.05","52,732"
"31-May-2023","EQ","2,802.50","2,832.10","2,790.10","2,802.50","2,819.00","2,823.25","2,816.22","2,841.90","1,825.05","13,94,580","3,92,74,48,261.80","59,853"
"30-May-2023","EQ","2,829.50","2,841.90","2,797.70","2,812.25","2,802.00","2,802.50","2,816.60","2,841.90","1,825.05","12,63,691","3,55,93,16,805.25","70,847"
"29-May-2023","EQ","2,745.00","2,821.80","2,745.00","2,742.15","2,813.95","2,812.25","2,788.87","2,821.80","1,825.05","11,07,678","3,08,91,68,389.60","62,993"
"26-May-2023","EQ","2,707.95","2,759.70","2,699.15","2,707.95","2,740.25","2,742.15","2,737.12","2,802.10","1,825.05","8,11,400","2,22,09,01,707.30","56,724"
"25-May-2023","EQ","2,714.45","2,720.00","2,682.00","2,707.25","2,710.00","2,707.95","2,693.13","2,802.10","1,825.05","6,51,488","1,75,45,43,904.90","37,505"
"24-May-2023","EQ","2,675.00","2,722.00","2,670.00","2,683.45","2,710.00","2,707.25","2,705.62","2,802.10","1,825.05","8,14,553","2,20,38,70,111.90","43,954"
"23-May-2023","EQ","2,719.95","2,726.40","2,677.30","2,712.55","2,692.00","2,683.45","2,694.59","2,802.10","1,825.05","7,13,749","1,92,32,63,401.30","47,750"
"22-May-2023","EQ","2,701.60","2,734.00","2,701.10","2,701.65","2,715.00","2,712.55","2,719.35","2,802.10","1,825.05","5,59,506","1,52,14,93,258.50","36,971"
"19-May-2023","EQ","2,719.95","2,719.95","2,683.05","2,721.85","2,703.00","2,701.65","2,700.82","2,802.10","1,825.05","8,46,419","2,28,60,23,055.80","49,857"
"18-May-2023","EQ","2,782.00","2,782.00","2,716.10","2,762.40","2,722.00","2,721.85","2,736.39","2,802.10","1,825.05","6,12,441","1,67,58,75,969.55","34,062"
"17-May-2023","EQ","2,785.00","2,790.00","2,750.05","2,790.25","2,765.00","2,762.40","2,764.87","2,802.10","1,825.05","5,39,547","1,49,17,76,880.55","50,158"
"16-May-2023","EQ","2,785.00","2,800.80","2,774.55","2,779.55","2,788.40","2,790.25","2,791.89","2,802.10","1,825.05","5,48,885","1,53,24,28,058.20","50,533"
