"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Jun-2023","EQ","5,049.95","5,055.00","5,000.05","5,045.45","5,040.00","5,036.95","5,029.32","5,294.00","3,635.20","4,30,106","2,16,31,41,569.25","43,702"
"23-Jun-2023","EQ","5,084.40","5,084.40","5,001.00","5,066.00","5,047.90","5,045.45","5,039.50","5,294.00","3,635.20","3,35,552","1,69,10,12,825.90","23,885"
"22-Jun-2023","EQ","5,129.90","5,155.00","5,055.00","5,118.75","5,076.60","5,066.00","5,099.05","5,294.00","3,635.20","3,29,800","1,68,16,65,566.80","40,965"
"21-Jun-2023","EQ","5,169.85","5,173.00","5,086.60","5,162.05","5,120.00","5,118.75","5,121.84","5,294.00","3,635.20","4,10,174","2,10,08,46,986.30","46,027"
"20-Jun-2023","EQ","5,174.95","5,197.90","5,101.10","5,145.00","5,161.00","5,162.05","5,159.43","5,294.00","3,635.20","3,34,154","1,72,40,45,065.30","30,983"
"19-Jun-2023","EQ","5,220.00","5,261.95","5,135.30","5,200.05","5,150.00","5,145.00","5,188.33","5,294.00","3,635.20","3,27,818","1,70,08,29,067.60","25,044"
"16-Jun-2023","EQ","5,218.75","5,294.00","5,163.05","5,218.75","5,206.05","5,200.05","5,208.67","5,294.00","3,556.10","7,97,312","4,15,29,38,160.10","62,671"
"15-Jun-2023","EQ","5,039.95","5,259.80","5,018.00","5,009.00","5,207.00","5,218.75","5,146.07","5,259.80","3,556.10","17,12,253","8,81,13,70,319.75","1,08,108"
"14-Jun-2023","EQ","4,965.00","5,022.55","4,951.05","4,951.05","5,009.00","5,009.00","4,995.49","5,040.00","3,556.10","3,60,156","1,79,91,56,292.10","33,097"
"13-Jun-2023","EQ","4,925.00","4,990.00","4,916.75","4,924.75","4,953.55","4,951.05","4,955.08","5,040.00","3,556.10","3,08,751","1,52,98,84,816.15","34,274"
"12-Jun-2023","EQ","4,949.00","4,995.00","4,915.05","4,926.70","4,935.00","4,924.75","4,947.48","5,040.00","3,556.10","3,43,835","1,70,11,15,187.50","38,989"
"09-Jun-2023","EQ","4,926.65","4,965.85","4,907.05","4,926.65","4,920.00","4,926.70","4,934.88","5,040.00","3,525.00","2,49,400","1,23,07,59,762.95","29,236"
"08-Jun-2023","EQ","5,020.00","5,028.55","4,920.00","5,026.45","4,930.10","4,926.65","4,948.78","5,040.00","3,525.00","4,11,502","2,03,64,32,063.85","38,507"
"07-Jun-2023","EQ","4,964.45","5,040.00","4,950.05","4,940.10","5,024.00","5,026.45","5,016.86","5,040.00","3,525.00","5,52,840","2,77,35,19,655.10","47,472"
"06-Jun-2023","EQ","4,969.00","4,969.45","4,893.50","4,950.20","4,946.00","4,940.10","4,927.74","5,009.20","3,525.00","3,82,992","1,88,72,83,447.60","39,327"
"05-Jun-2023","EQ","4,967.95","5,009.20","4,934.05","4,967.30","4,950.30","4,950.20","4,973.58","5,009.20","3,525.00","6,98,352","3,47,33,06,064.60","60,987"
"02-Jun-2023","EQ","4,839.65","5,002.20","4,806.00","4,814.25","4,960.00","4,967.30","4,922.37","5,002.20","3,525.00","13,26,161","6,52,78,59,385.95","93,360"
"01-Jun-2023","EQ","4,689.00","4,847.00","4,686.00","4,621.95","4,823.00","4,814.25","4,797.84","4,901.95","3,525.00","16,92,479","8,12,02,44,772.30","1,44,942"
"31-May-2023","EQ","4,600.00","4,731.00","4,525.00","4,599.15","4,618.00","4,621.95","4,637.99","4,901.95","3,525.00","16,55,511","7,67,82,46,894.35","1,40,208"
"30-May-2023","EQ","4,672.00","4,795.00","4,535.45","4,640.45","4,600.00","4,599.15","4,671.33","4,901.95","3,525.00","12,98,380","6,06,51,62,904.65","90,653"
"29-May-2023","EQ","4,635.00","4,665.00","4,580.65","4,609.90","4,652.00","4,640.45","4,620.52","4,901.95","3,525.00","3,32,364","1,53,56,95,012.05","27,306"
"26-May-2023","EQ","4,590.00","4,620.00","4,551.25","4,568.15","4,600.00","4,609.90","4,602.11","4,901.95","3,361.55","2,89,579","1,33,26,73,780.90","19,530"
"25-May-2023","EQ","4,569.00","4,597.95","4,530.95","4,536.45","4,583.00","4,568.15","4,558.60","4,901.95","3,361.55","2,02,680","92,39,36,396.65","24,187"
"24-May-2023","EQ","4,540.95","4,607.00","4,523.35","4,550.40","4,540.00","4,536.45","4,565.46","4,901.95","3,361.55","2,25,979","1,03,16,98,965.45","23,831"
"23-May-2023","EQ","4,605.00","4,617.05","4,533.00","4,605.30","4,541.00","4,550.40","4,570.43","4,901.95","3,361.55","4,33,331","1,98,05,09,514.95","35,220"
"22-May-2023","EQ","4,459.80","4,625.00","4,451.95","4,447.15","4,605.00","4,605.30","4,554.58","4,901.95","3,361.55","3,61,967","1,64,86,09,230.15","29,486"
"19-May-2023","EQ","4,455.00","4,465.00","4,410.25","4,442.00","4,440.00","4,447.15","4,438.09","4,901.95","3,361.55","1,77,405","78,73,38,965.70","16,161"
"18-May-2023","EQ","4,510.00","4,529.90","4,433.00","4,482.15","4,443.05","4,442.00","4,478.95","4,901.95","3,361.55","1,67,057","74,82,39,872.85","15,125"
"17-May-2023","EQ","4,580.05","4,599.60","4,458.00","4,555.10","4,476.00","4,482.15","4,499.71","4,901.95","3,361.55","2,66,803","1,20,05,35,833.30","33,409"
"16-May-2023","EQ","4,625.00","4,642.25","4,541.00","4,625.85","4,555.70","4,555.10","4,592.96","4,901.95","3,361.55","3,10,725","1,42,71,48,801.15","29,868"
"15-May-2023","EQ","4,609.95","4,689.00","4,591.10","4,605.25","4,622.00","4,625.85","4,652.61","4,901.95","3,361.55","4,01,847","1,86,96,38,615.35","37,584"
"12-May-2023","EQ","4,595.00","4,640.00","4,535.00","4,595.30","4,607.00","4,605.25","4,606.75","4,901.95","3,361.55","4,27,837","1,97,09,38,133.40","36,118"
"11-May-2023","EQ","4,610.95","4,645.00","4,584.65","4,601.30","4,588.10","4,595.30","4,614.10","4,901.95","3,361.55","4,09,446","1,88,92,26,712.00","20,221"
